"Valuation Date","Last Movement Date",Organization,"Last Material Receipt Date","Org Warehouse",Locator,"Item Category","Item No","C_UOM_ID","On Hand Qty","C_Currency_ID","Moving Average Price","Price Value","C_Currency_ID_To","Current Price","Price Value","AD_Client_ID"
"31-01-2023","31-01-2023","CM_SMT","12-01-2023","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)",131S00050221MM,PCS,"1,328,912.04",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","12-01-2023","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)",131S00071330JM,PCS,"332,966.01",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","05-09-2022","CM_SMT","08-07-2022","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)",131S00170221MM,PCS,"411,560",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","16-01-2023","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)",131S00323560JM,PCS,"120,058,325.68",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","11-10-2022","CM_SMT","05-10-2022","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)",131S0264A560JM,PCS,"43,173",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","21-10-2022","CM_SMT","18-10-2022","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)",131S0327A560JM,PCS,"57,898",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","04-09-2022","CM_SMT","08-07-2022","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)",132S00185104MM,PCS,"130,528",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","12-12-2022","CM_SMT","12-12-2022","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)",132S00221103JM,PCS,"136,091.839",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","16-01-2023","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)",132S0245R103JM,PCS,"56,679,725",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","16-01-2023","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)",132S0249R221MM,PCS,"122,899,568.7",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
